CHL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5100;智利硝酸盐铁路公司 ;T5100;3;1930;1999;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5101;巴弗尔&威廉森公司 ;T5101;3;1930;1999;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5102;坎贝尔·奥托姆·赛耶 ;T5102;3;1930;1999;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5103;智利工矿联合体 ;T5103;4;1930;1999;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5104;智利生产促进协会 ;T5104;4;1930;1999;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5105;安第斯电力 ;T5105;2;1930;1999;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5106;智利军事学院 ;T5106;4;1930;1999;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5107;特兰萨德林建筑公司 ;T5107;4;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5109;C·J·德·拉·莫特·杜·帕托尔 ;T5109;3;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5110;弗朗西斯科·奥莱恩·奥雷戈 ;T5110;4;1938;1946;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5111;迭戈·阿拉塞纳 ;T5111;3;1938;1999;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5112;马莫杜克·格罗夫 ;T5112;5;1937;1999;fighter_tactics;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5113;E·诺沃·福恩特斯 ;T5113;3;1930;1942;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5114;卡洛斯·福恩特斯·拉贝 ;T5114;4;1938;1999;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
