COL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5200;IFI ;T5200;3;1930;1999;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5201;哥伦比亚航空公司 ;T5201;2;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5202;FNC ;T5202;3;1930;1999;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5203;哥伦比亚铁路公司 ;T5203;4;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5204;哥伦比亚工业发展协会 ;T5204;3;1944;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5205;古斯塔沃·洛加斯·皮尼拉 ;T5205;3;1944;1957;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5206;国家陆军 ;T5206;2;1930;1999;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5207;国家空军 ;T5207;2;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5208;哥伦比亚航空军事学院 ;T5208;2;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5209;联合水果公司 ;T5209;2;1930;1999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5210;哥伦比亚国立大学 ;T5210;2;1930;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
