CRO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
31000;克罗地亚国家铁路公司 ;T3805;5;1930;1999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31001;伊卡鲁斯·赫尔瓦特斯卡 ;T3800;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31002;航空发动机制造厂 ;T3801;3;1930;1999;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31003;奥西耶克工业联合体 ;T13;4;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31004;斯普利特造船厂 ;T3802;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31005;萨格勒布军工厂 ;T3812;5;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31006;斯拉夫科·克瓦泰尔尼克 ;T31006;3;1930;1948;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31007;弗拉基米尔·拉克萨 ;T31007;4;1930;1945;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31008;国防部 ;T31008;3;1930;1999;small_taskforce_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31010;弗拉基米尔·克伦 ;T31010;4;1930;1945;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31011;萨格勒布大学 ;T31011;3;1930;1999;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
