CYU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
93801;Aluminij;T_BOS_Aluminij;3;1930;1970;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93800;Aleksandar Cincar-Markovic;T3811;3;1930;1970;centralized_execution;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93802;BNT Bratstvo;T_BOS_BNTBrastovo;4;1949;1970;general_equipment;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93803;Brodogradiliste Kraljevica;T_YUG_KraljevicaShipyard;3;1930;1970;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93804;Brodogradiliste Uljanik;T_YUG_Uljanik;3;1930;1970;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93805;Duro Kurepa;T_YUG_Duro_Kurepa;4;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93806;Dusan Simovic;T3809;3;1930;1970;aircraft_testing;bomber_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93807;Elektronska Industrija Ni‹;T_YUG_ElektronskaIndustrijaNis;5;1948;1970;chemistry;electronics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93808;FAMOS;T_BOS_FAMOS;5;1950;1970;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93809;Ikarus;T3800;4;1930;1970;aeronautics;electronics;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93811;Industrija Aeroplanskih Motora;T3801;3;1930;1970;aeronautics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93812;Ivo Lola Ribar;T_CYU_Ivo_Lola_Ribar;3;1937;1970;decentralized_execution;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93813;Jadransko Brodogradiliste;T3802;3;1930;1970;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93814;Josip Broz Tito;T3810;6;1942;1970;centralized_execution;individual_courage;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
