ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x 
301;英国石油公司 ;T301;9;1930;1999;industrial_engineering;chemistry;general_equipment;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
306;英格兰电子公司 ;T306;8;1930;1999;electronics;aeronautics;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
305;恩菲尔德兵工厂 ;T305;7;1930;1999;mechanics;artillery;INFANTRY_FOCUS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
313;皇家武器工厂 ;T313;6;1930;1999;mechanics;SMALL_UNIT_TACTICS;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
311;利兰 ;T311;8;1930;1999;mechanics;technical_efficiency;artillery;GENERAL_EQUIPMENT;INDUSTRIAL_ENGINEERING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
315;沃克斯豪尔 ;T315;7;1930;1999;mechanics;chemistry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
316;维克斯-阿姆斯特朗有限公司 ;T316;8;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
332;布里斯托尔飞机公司 ;T332;6;1930;1999;aeronautics;electronics;BOMBER_TACTICS;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
308;霍克 ;T308;6;1930;1999;aeronautics;FIGHTER_TACTICS;TECHNICAL_EFFICIENCY;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
314;超级马林 ;T314;9;1938;1999;aeronautics;aircraft_testing;ROCKETRY;ELECTRONICS;FIGHTER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
331;格洛斯特飞机公司 ;T306;7;1944;1999;FIGHTER_TACTICS;BOMBER_TACTICS;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
