FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x 
1302;¿­ÃÅ ;T1302;6;1930;1999;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1303;µÙ¿¨¿ÆË¹»ù ;T1303;5;1930;1999;INFANTRY_FOCUS;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1304;Î¬¶ûÃ×ÌØ ;T1304;4;1946;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1300;°¢°£ÂÞ ;T1300;5;1930;1999;aeronautics;AIRCRAFT_TESTING;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1301;¿ËÀ³¶Ù-ÎÖ¶û¿² ;T1301;5;1930;1999;naval_engineering;NAVAL_ARTILLERY;NAVAL_TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1310;°¢¶ûÍ¼Àï¡¤Î¬¶ûËþÄþ ;T1310;6;1930;1999;chemistry;management;MATHEMATICS;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1305;¿¨¶û¡¤ÂüÄÉº£Ä· ;T1305;7;1930;1999;infantry_focus;individual_courage;small_unit_tactics;DECENTRALIZED_EXECUTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1307;Íþ¶û¡¤ÄáÅµÃÉ ;T1307;5;1930;1947;DECENTRALIZED_EXECUTION;training;SMALL_UNIT_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1308;K¡¤ÁÖÄÉÌØ¡¤°ÂË¹ ;T1308;5;1930;1999;combined_arms_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1306;Àí²éµÂ¡¤ÂåÂØ×È ;T1306;6;1930;1999;TRAINING;fighter_tactics;INDIVIDUAL_COURAGE;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1309;ÎÖ¶ûÎÖ ;T1309;4;1930;1999;naval_training;seamanship;NAVAL_ARTILLERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

