FLA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4200;柯克里尔 ;T700;6;1930;1999;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4201;费利 ;T701;6;1930;1999;aeronautics;electronics;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4202;吉华集团 ;T703;6;1930;1999;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4203;雷诺 ;T705;5;1930;1999;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4204;索尔维碱业 ;T706;7;1930;1999;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4205;维克斯-阿姆斯特朗 ;T707;8;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4206;劳·布鲁格耶斯 ;T713;5;1930;1999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4207;康拉德·舍隆 ;T4207;5;1940;1999;combined_arms_focus;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4208;耶夫·佛朗西斯 ;T4208;3;1930;1999;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4209;恩斯特·容克曼 ;T4209;3;1940;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4210;埃格特·雷德尔 ;T4210;3;1940;1999;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
