GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1;法本化工公司 ;T3;9;1930;1999;chemistry;industrial_engineering;general_equipment;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2;戴姆勒奔驰 ;T12;9;1930;1999;mechanics;general_equipment;technical_efficiency;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3;斯柯达 ;T1105;7;1999;1999;mechanics;industrial_engineering;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;克虏伯 ;T7;9;1930;1999;mechanics;electronics;technical_efficiency;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;毛瑟兵工厂 ;T9;8;1930;1999;INFANTRY_FOCUS;LARGE_UNIT_TACTICS;SMALL_UNIT_TACTICS;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;莱茵金属 ;T13;7;1930;1999;artillery;mechanics;training;SMALL_UNIT_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;哈诺马克 ;T29;7;1930;1999;INFANTRY_FOCUS;DECENTRALIZED_EXECUTION;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
8;亨歇尔 ;T30;7;1930;1999;aeronautics;INFANTRY_FOCUS;INDIVIDUAL_COURAGE;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9;奥格斯堡机械制造厂 ;T8;8;1930;1999;mechanics;general_equipment;artillery;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;西门子 ;T14;8;1930;1999;electronics;industrial_engineering;technical_efficiency;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11;欧宝 ;T11;7;1930;1999;mechanics;management;technical_efficiency;ROCKETRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;梅塞施密特 AG ;T10;9;1930;1999;aeronautics;rocketry;FIGHTER_TACTICS;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15;容克 AG ;T4;9;1938;1999;aeronautics;BOMBER_TACTICS;electronics;aircraft_testing;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;阿拉多飞机制造厂 ;T40;6;1940;1999;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;福克沃尔夫飞机制造厂 ;T28;8;1939;1999;ROCKETRY;FIGHTER_TACTICS;BOMBER_TACTICS;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;亨克尔飞机公司 ;T2;7;1930;1999;aeronautics;aircraft_testing;electronics;BOMBER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
19;布洛姆福斯造船厂 ;T1;7;1930;1999;naval_engineering;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
