HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1600;布达佩斯化学工业 ;T1600;5;1930;1999;MANAGEMENT;chemistry;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1605;匈牙利国家钢铁公司 ;T1602;5;1930;1999;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1606;MOLAJ石油化工 ;T1606;6;1939;1999;industrial_engineering;chemistry;MECHANICS;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1601;FEG公司 ;T1601;4;1930;1999;ARTILLERY;training;INFANTRY_FOCUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1602;GANZ公司 ;T1602;4;1930;1999;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1603;ICN公司 ;T1603;5;1930;1999;mechanics;training;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1610;罗兰德·艾厄特沃什大学 ;T1611;4;1930;1999;ELECTRONICS;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1611;沃勒什·亚诺什 ;T1610;4;1930;1999;ELECTRONICS;MANAGEMENT;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1604;曼弗雷德·魏斯 ;T1604;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1614;贝·佐尔坦 ;T1614;5;1930;1999;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1607;费瑞克·祖巴斯里 ;T1607;4;1930;1999;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1612;拉约什·萨泰·冯·萨泰 ;T1611;5;1930;1944;INFANTRY_FOCUS;decentralized_execution;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1608;格奥尔基·德·玻利 ;T1608;5;1940;1999;fighter_tactics;SMALL_TASKFORCE_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1609;F·利塔伊 ;T1609;3;1930;1941;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1613;霍尔蒂·米克洛什 ;T1612;4;1930;1944;seamanship;naval_training;NAVAL_ARTILLERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
