ICL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
22000;里耶卡海军研究院 ;T11300;2;1940;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22001;冰岛大学 ;T11301;3;1930;1999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22002;雷克雅末克军事学校 ;T10401;2;1930;1999;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22003;雷克雅末克兵工厂 ;T2504;3;1930;1999;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22004;冰岛海军造船厂 ;T3204;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22005;军用飞机制造厂 ;T2501;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22006;雷克雅末克工业联合体 ;T1414;4;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22007;凯·哈梅里希 ;T22007;4;1930;1999;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22008;奥古斯特·阿伦德纳普 ;T22008;3;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22009;阿斯格·E·V·格朗让 ;T22009;3;1930;1999;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
