ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x 
11600;耶路撒冷-希伯来大学 ;T11600;7;1930;1999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11601;以色列飞机制造公司 ;T11601;8;1930;1999;aeronautics;technical_efficiency;electronics;ROCKETRY;AIRCRAFT_TESTING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11602;以色列军工厂 ;T11602;8;1930;1999;mechanics;artillery;general_equipment;TRAINING;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11603;塔迪兰电子公司 ;T11603;8;1930;1999;electronics;management;mathematics;TECHNICAL_EFFICIENCY;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11604;武器研发局 ;T11604;7;1930;1999;COMBINED_ARMS_FOCUS;artillery;SMALL_UNIT_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11605;埃比特系统公司 ;T11605;7;1930;1999;electronics;mechanics;industrial_engineering;MATHEMATICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11606;摩西·达杨 ;T11606;8;1930;1999;INDIVIDUAL_COURAGE;small_unit_tactics;combined_arms_focus;centralized_execution;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11607;伊格尔·亚丁 ;T11607;7;1930;1999;centralized_execution;INFANTRY_FOCUS;INDIVIDUAL_COURAGE;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11609;海姆·拉斯科夫 ;T11609;7;1930;1999;combined_arms_focus;ARTILLERY;TRAINING;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11608;摩西·卡勒里特兹 ;T11608;5;1930;1999;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11610;埃泽尔·魏茨曼 ;T11610;8;1930;1999;FIGHTER_TACTICS;BOMBER_TACTICS;SMALL_TASKFORCE_TACTICS;TRAINING;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
