ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1812;蓝旗亚公司 ;T1812;5;1930;1999;mechanics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1820;蒙特卡蒂尼 ;T1820;4;1930;1999;chemistry;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1808;菲亚特公司 ;T1808;8;1930;1999;mechanics;artillery;technical_efficiency;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1801;伯莱塔枪械公司 ;T1801;4;1930;1999;training;artillery;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1802;布雷达航空 ;T1802;7;1930;1999;aeronautics;electronics;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1806;卡普隆尼飞机公司 ;T1806;5;1939;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1810;马基航空 ;T1810;5;1939;1999;aeronautics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1804;坎蒂耶里·安萨尔多船舶工业 ;T1804;7;1930;1999;naval_engineering;naval_artillery;naval_training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1805;亚得里亚海联合造船厂 ;T1805;9;1930;1999;naval_engineering;naval_training;naval_artillery;electronics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1809;盖多·弗比尼 ;T1809;3;1930;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1803;布鲁诺·德·费内蒂 ;T1803;5;1942;1999;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1821;朱利奥·纳塔 ;T1821;7;1942;1999;chemistry;mathematics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1800;阿图罗·克洛科 ;T1800;4;1930;1999;rocketry;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1807;恩里克·费米 ;T1807;6;1930;1938;nuclear_physics;nuclear_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1816;吉奥瓦尼·梅塞 ;T1816;8;1940;1999;small_unit_tactics;centralized_execution;combined_arms_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1817;彼得罗·巴多格里奥 ;T1817;3;1930;1999;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1819;鲁道夫·格拉齐亚尼 ;T1819;3;1930;1999;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1813;阿图罗·里卡蒂 ;T1813;3;1930;1999;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1814;多米尼克·卡瓦格纳利 ;T1814;4;1930;1999;naval_artillery;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1815;伊塔诺·巴尔博 ;T1815;7;1930;1999;bomber_tactics;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1818;里诺·福吉艾尔 ;T1818;4;1939;1999;fighter_tactics;small_taskforce_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1811;萨伏亚-马歇蒂 ;T1811;4;1999;1999;aeronautics;electronics;naval_artillery;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
