JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1900;川崎航空工业公司 ;T1900;7;1930;1999;electronics;aeronautics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1901;日野汽车 ;T1901;6;1930;1999;mechanics;general_equipment;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1902;川崎重工 ;T1902;7;1930;1999;electronics;industrial_engineering;aeronautics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1903;吴港造船厂 ;T1903;9;1930;1999;naval_engineering;electronics;naval_artillery;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1904;三菱飞机 ;T1904;8;1930;1999;aeronautics;aircraft_testing;fighter_tactics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1905;三菱重工 ;T1905;7;1930;1999;technical_efficiency;artillery;industrial_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1906;佐世保造船厂;T1906;8;1930;1999;naval_engineering;naval_artillery;aircraft_testing;electronics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1907;三井公司 ;T1907;6;1930;1999;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1908;中岛公司 ;T1908;7;1930;1999;aeronautics;aircraft_testing;artillery;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1909;日产 ;T1909;6;1930;1999;electronics;industrial_engineering;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1910;住友重工 ;T1910;8;1930;1999;electronics;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1911;高木贞治 ;T1911;6;1930;1999;mathematics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1912;东京兵工厂 ;T1912;6;1930;1999;artillery;training;infantry_focus;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1923;大阪炮兵工厂 ;T1923;8;1930;1999;artillery;training;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1913;仁科芳雄 ;T1913;4;1930;1999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1914;东条英机 ;T1914;5;1930;1999;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1915;寺内寿一 ;T1915;7;1930;1999;large_unit_tactics;infantry_focus;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1916;山本五十六 ;T1916;9;1930;1999;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1917;永野修身 ;T1917;6;1930;1999;naval_training;small_taskforce_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1918;畑俊六 ;T1918;7;1930;1999;fighter_tactics;centralized_execution;small_taskforce_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1919;山下奉文 ;T1919;8;1930;1999;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1920;冈村宁次 ;T1920;7;1936;1999;combined_arms_focus;large_unit_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1921;三川军一 ;T1921;8;1936;1999;seamanship;naval_training;small_taskforce_tactics;naval_artillery;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1922;大西泷治郎 ;T1922;7;1939;1999;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
