LEB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11900;阿拉伯银行 ;T9400;4;1930;1999;management;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11901;贝鲁特兵工厂 ;T9800;3;1930;1999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11902;的黎波里造船厂 ;T11003;2;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11903;圣约瑟夫大学 ;T11903;3;1930;1999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11904;阿德里安·佩蒂埃 ;T11904;3;1930;1999;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11905;阿希尔·佩雷蒂 ;T11905;2;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11906;亨利·苏拉特 ;T11906;3;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11907;图菲克·塞伦 ;T11907;3;1945;1999;small_unit_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11908;约瑟夫·切米特 ;T11908;3;1959;1999;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11909;拂奥德·希巴博 ;T11909;3;1945;1999;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11910;阿德尔·希巴博 ;T11910;3;1959;1999;naval_training;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
