MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6400;南满铁路株式会社 ;T6400;4;1930;1999;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6401;满洲航空公司 ;T6401;2;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6402;满洲殖垦团 ;T6402;3;1930;1999;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6403;木村兵太郎 ;T6403;2;1930;1999;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6404;板垣征四郎 ;T6404;4;1930;1999;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6405;梅津美治郎 ;T6405;4;1936;1999;individual_courage;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6406;冈敬淳 ;T6406;3;1936;1999;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6407;大西泷治郎 ;T1915;3;1936;1999;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6408;道和汽车制造公司 ;T1909;3;1930;1999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6409;满洲工业发展财团 ;T1902;4;1930;1999;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6410;奉天兵工厂 ;T1003;3;1930;1999;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6411;昭和炼钢厂 ;T13;4;1930;1999;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
