NZL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9000;伯纳德·弗赖伯格 ;T9000;7;1930;1999;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001;威廉·辛克莱尔-伯吉斯 ;T9001;5;1930;1938;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9002;弗朗西斯·塔克尔 ;T9002;5;1941;1999;training;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9003;W·H·斯特拉顿 ;T9003;5;1930;1999;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9004;罗德里克·卡尔 ;T9004;6;1938;1999;large_taskforce_tactics;piloting;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9005;L·M·艾塞特 ;T9005;5;1930;1942;bomber_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9006;惠灵顿兵工厂 ;T313;5;1930;1999;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9007;新西兰造船厂 ;T6;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9008;惠灵顿通用汽车 ;T9008;4;1930;1999;artillery;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9009;德·哈维兰 ;T903;7;1930;1999;aeronautics;electronics;technical_efficiency;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9010;奥塔哥大学 ;T9010;3;1930;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
