PAK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12500;卡拉奇造船及机械厂 ;T12500;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12501;军用车辆研发中心 ;T12501;5;1930;1999;mechanics;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12502;巴基斯坦联合航空 ;T12502;4;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12503;巴基斯坦机床厂 ;T12503;4;1930;1999;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12504;巴基斯坦海军造船厂 ;T12504;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12505;巴基斯坦兵工厂 ;T12505;4;1930;1999;general_equipment;artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12506;旁遮普大学 ;T12506;2;1930;1999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12507;穆罕默德·阿尤布·汗 ;T12507;3;1930;1999;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12508;穆罕默德·叶海亚·汗 ;T12508;3;1930;1999;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12509;哈吉·穆罕默德·西迪 ;T12509;5;1942;1999;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12510;詹姆斯·威尔弗雷德·杰夫德 ;T12510;2;1930;1956;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12511;塔尔博特·萨维尼亚克·霍尔 ;T12511;3;1930;1945;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12512;阿什哈·汗 ;T12512;6;1930;1999;fighter_tactics;aircraft_testing;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12513;巴基斯坦海军参谋部 ;T12513;1;1956;1999;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
