PER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6100;英国-伊朗石油公司 ;T6100;5;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6101;道格拉斯飞机公司 ;T103;5;1999;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6102;贾汉宾建筑公司 ;T6102;3;1930;1999;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6103;撒切斯梅铜矿 ;T6103;3;1930;1999;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6104;西门子-伊朗公司 ;T14;5;1937;1999;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6105;国家航空公司 ;T6105;3;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6106;伊朗铁路运输公司 ;T6106;4;1930;1999;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6107;戈兰·利扎·法哈尔维 ;T6107;2;1930;1999;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6108;利扎·法哈尔维 ;T6108;5;1930;1945;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6109;德黑兰大学 ;T6109;3;1930;1999;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
