ROM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2901;卡柏辛 ;T2901;4;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2902;DT-UDR軍工廠 ;T2902;4;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2903;IAR軍工廠 ;T2903;6;1930;1999;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2904;梅勒克萨制造厂 ;T2904;5;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2906;奥利塔 ;T2906;4;1930;1999;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2907;奥克斯布格-纽伦堡机械制造厂 ;T2907;6;1930;1999;electronics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2908;埃马诺尔·伊万内斯库 ;T2910;6;1944;1999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2909;乔治·捷内斯库 ;T2915;4;1930;1945;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2910;霍里亚·马塞拉 ;T2916;2;1930;1945;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2911;伊万·安东内斯库 ;T2908;5;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2912;米哈伊尔·拉斯卡 ;T2909;6;1945;1950;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2913;亨利·柯恩达 ;T2913;5;1930;1944;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2914;布加勒斯特大学 ;T2914;3;1930;1999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2915;国防部 ;T2915;4;1945;1999;centralized_execution;small_taskforce_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
