RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7200;中央造船技术研究院 ;T11003;6;1930;1999;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7201;格拉宾设计局 ;T3708;6;1930;1999;mechanics;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7202;伊格·Y·塔姆 ;T7202;3;1930;1999;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7203;伊留申设计局 ;T3709;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7204;加里宁机械制造厂 ;T7204;5;1930;1999;general_equipment;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7205;基洛夫工厂设计局 ;T3710;6;1930;1999;mechanics;artillery;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7207;米库林设计局 ;T7207;5;1944;1999;aeronautics;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7208;涅夫斯卡耶设计局 ;T3711;4;1930;1999;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7209;‘红宝石’中央海事工程装备设计局 ;T7209;5;1930;1999;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7210;谢尔盖·科罗廖夫 ;T3720;7;1930;1999;rocketry;aeronautics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7211;斯大林格勒拖拉机厂设计局 ;T3713;4;1930;1999;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7212;苏霍伊设计局 ;T7212;4;1939;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7213;V·A·德特雅里夫设计局 ;T7213;6;1930;1999;general_equipment;artillery;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7214;莫斯科陆军学院 ;T10401;6;1930;1999;centralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7215;圣彼得堡海军学院 ;T10402;3;1930;1999;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
