SCA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
32010;卡米维工业 ;T3205;4;1930;1999;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32013;孔斯伯格工业 ;T2502;3;1930;1999;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32014;夸瑞纳工业 ;T2503;6;1930;1999;industrial_engineering;chemistry;technical_efficiency;MECHANICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32004;布尔梅斯特&维尼 ;T202;5;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32012;卡杰勒航空 ;T2501;3;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32021;萨伯-斯堪尼亚公司 ;T3208;5;1930;1999;aeronautics;ROCKETRY;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32019;劳福斯军械公司 ;T2504;5;1930;1999;TRAINING;artillery;INFANTRY_FOCUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32009;哈斯库法纳兵工厂 ;T3203;4;1930;1999;TRAINING;SMALL_UNIT_TACTICS;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32003;博福斯公司 ;T3201;6;1930;1999;mechanics;artillery;TECHNICAL_EFFICIENCY;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32016;LM 爱立信电子 ;T3207;6;1930;1999;electronics;MECHANICS;GENERAL_EQUIPMENT;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32023;斯堪尼亚-瓦比斯汽车 ;T3209;5;1930;1999;industrial_engineering;mechanics;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32008;霍顿海军造船厂 ;T2500;6;1930;1999;naval_engineering;naval_artillery;SEAMANSHIP;NAVAL_TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32011;卡尔斯库纳海军船厂 ;T3204;7;1930;1999;naval_engineering;naval_artillery;NAVAL_TRAINING;ELECTRONICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32017;尼尔斯·波尔 ;T111;7;1930;1943;nuclear_physics;nuclear_engineering;mathematics;CHEMISTRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32018;奥德·哈塞尔 ;T2508;4;1930;1999;management;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32024;斯韦德贝里 ;T3213;5;1930;1999;nuclear_physics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32001;阿恩·贝尔林 ;T3200;6;1930;1999;mathematics;ELECTRONICS;management;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32027;卡尔·哈杰夫 ;T209;4;1930;1999;small_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32028;海尔格·荣 ;T3212;4;1930;1999;combined_arms_focus;TRAINING;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32030;本内特·诺登斯吕德 ;T3211;4;1930;1999;bomber_tactics;FIGHTER_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32029;布杰纳·德森 ;T2507;3;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
