SCO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13000;布莱克本航空公司 ;T13000;5;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13001;格罗斯特航空公司 ;T13001;7;1930;1999;aeronautics;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13002;哈兰德 & 沃尔夫 ;T13002;7;1930;1999;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13003;罗西斯造船厂 ;T13003;6;1930;1999;naval_engineering;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13004;苏格兰兵工厂 ;T13004;6;1930;1999;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13005;苏格兰铁路公司 ;T13005;6;1930;1999;mechanics;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13006;爱丁堡大学 ;T13006;4;1930;1999;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13013;乔治堡 ;T13013;5;1930;1999;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13014;苏格兰海军 ;T13014;4;1930;1999;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13015;班夫空军基地 ;T13015;5;1930;1999;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
