SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15800;贝尔格莱德大学 ;T15800;2;1930;1999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15801;伊卡鲁斯 ;T3800;4;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15802;摩托拉工业公司 ;T3801;3;1930;1999;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15803;布洛多格拉迪里斯特 ;T3802;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15804;契约通信公司 ;T3803;5;1930;1999;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15805;米克伦 ;T3804;4;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15806;塞尔维亚国营铁路 ;T3805;5;1930;1999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15807;扎斯塔瓦兵工厂 ;T3812;5;1930;1999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15808;齐沃因·罗格扎斯基 ;T3806;3;1930;1999;aeronautics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15809;ZMAJ ;T3807;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15810;贝尔格莱德陆军军官学校 ;T10401;3;1930;1999;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
