SIA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9100;銮披汶 颂堪 ;T9100;3;1930;1957;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9101;海军统帅部 ;T9101;3;1930;1999;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9102;銮卡吉 颂堪 ;T9102;4;1942;1999;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9103;銮辛萨 颂堪察 ;T9103;2;1930;1944;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9104;曼谷造船厂 ;T6;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9105;曼谷兵工厂 ;T13;4;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9106;皇家航空服务队 ;T6401;4;1930;1999;aeronautics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9107;泰国水泥厂 ;T10504;5;1930;1999;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9108;泰国电力公司 ;T2704;5;1930;1999;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9109;泰国国立法政大学 ;T9109;3;1930;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9110;沙立 丹努拉贾 ;T9110;4;1957;1999;individual_courage;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9111;泰国银行 ;T9111;2;1943;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
