SIB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13100;西伯利亚航空科学研究学会 ;T13100;7;1941;1999;aeronautics;electronics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13101;契卡洛夫航空工业 ;T13101;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13102;伊尔库茨克航空工业协会 ;T13102;5;1930;1999;aeronautics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13103;下塔吉尔工厂 ;T3712;4;1930;1999;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13104;新西伯利亚电机工程学会 ;T13104;4;1930;1999;management;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13105;新西伯利亚国营锡制品厂 ;T10504;3;1930;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13106;新西伯利亚石油加工厂 ;T10504;4;1930;1999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13107;新西伯利亚无线电股份公司 ;T13107;3;1930;1999;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13108;鄂木斯克发动机设计局 ;T13108;4;1930;1999;aeronautics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13109;波·西伯塞尔玛设计局 ;T13109;5;1930;1999;management;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13110;乌兰乌德飞机厂 ;T13110;5;1939;1999;aeronautics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13111;西伯利亚陆军学院 ;T10401;4;1930;1999;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
