SPA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3100;西班牙CASA軍用飛機公司 ;T3100;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3101;CROS, SA ;T3101;2;1930;1999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3102;阿雷尔萨 穆特兹-罗达斯博士 ;T3102;3;1930;1999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3103;埃斯佩兰萨-阿斯特拉公司 ;T3103;4;1930;1999;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3104;特鲁比亚坦克工厂 ;T3104;4;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3105;马斯特兰萨·阿提勒里拉·费罗尔 ;T3105;4;1930;1999;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3106;胡安 L· 索莱尔 ;T3106;4;1930;1999;mathematics;management;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3108;佛朗哥 巴哈蒙德 ;T3108;4;1930;1999;infantry_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3109;加西亚·维里诺 ;T3109;5;1930;1999;small_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3110;米利安实验室 ;T3110;4;1930;1999;chemistry;nuclear_physics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3111;加西亚·莫拉托 ;T3111;5;1930;1939;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3112;拉-伊斯帕诺 ;T3112;5;1937;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3113;西班牙社會海軍建設廠 ;T3113;5;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3115;塞维拉·瓦德拉马 ;T3115;4;1930;1999;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3116;坎德兰·杜安尼 ;T3116;3;1930;1946;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3117;坎培拉-艾斯帕拉工业研究中心 ;T3117;4;1930;1999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3118;安杰尔·萨拉斯·拉拉萨瓦尔 ;T3118;4;1939;1999;aircraft_testing;fighter_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
