SPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3900;西班牙CASA軍用飛機公司 ;T3900;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3901;CROS, SA ;T3101;2;1930;1999;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3902;莱雷特·鲁伊斯博士 ;T3902;3;1930;1937;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3903;埃斯佩兰萨-阿斯特拉公司 ;T3103;4;1930;1999;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3904;特鲁比亚坦克工厂 ;T3104;4;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3905;米亚加·梅南特 ;T3905;4;1930;1958;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3906;莱万特海军联合船业 ;T3906;4;1930;1937;mechanics;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3907;李特·福里扬 ;T3907;4;1937;1999;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3908;门迪奥拉·努伊兹 ;T3908;5;1930;1999;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3909;罗杰·罗切 ;T3909;5;1937;1999;infantry_focus;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3910;希斯帕诺-苏伊扎 ;T3910;5;1930;1999;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3911;国家社会研究中心 ;T3911;4;1930;1999;nuclear_physics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3912;西班牙社會海軍建設廠 ;T3912;5;1930;1999;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3913;佩格·亚当 ;T3913;4;1930;1999;mathematics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3914;贝扎·帕拉西奥斯 ;T3914;3;1930;1937;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3915;冈萨雷斯·尤比亚特 ;T3915;3;1937;1999;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3916;希达尔戈·德·西斯涅洛斯 ;T3916;5;1936;1999;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3917;坎培拉-艾斯帕拉工业研究中心 ;T3117;4;1930;1999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
