TRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14700;航空器零组件产制集团 ;T14700;5;1939;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14701;车里雅宾斯克拖拉机厂 ;T14701;5;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14702;车里雅宾斯克-65 ;T14702;4;1942;1999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14703;伊热夫斯克电机厂 ;T14703;3;1945;1999;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14704;伊热夫斯克钢铁及军火工厂 ;T14704;7;1930;1999;mechanics;artillery;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14705;库尔干机器制造联合股份公司 ;T14705;5;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14706;下塔吉尔工业区 ;T3712;4;1930;1999;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14707;斯维尔德洛夫斯克-44 ;T14702;4;1944;1999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14708;乌拉尔国家生产企业 ;T14708;6;1930;1999;mechanics;technical_efficiency;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14709;维辛斯基扎沃德工业联合体 ;T14709;6;1930;1999;industrial_engineering;mechanics;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14710;车里雅宾斯克陆军军官学校 ;T10401;4;1930;1999;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14711;特兰苏拉尔空军军官学校 ;T10402;3;1930;1999;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
