TUR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3500;格拉克造船厂 ;T3500;4;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3501;伊斯坦布尔瓦尔德造船厂 ;T3501;5;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3502;KTF ;T3502;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3503;MKEK ;T3503;5;1930;1999;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3504;土耳其空军 ;T3504;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3505;土耳其石油公司 ;T3505;3;1930;1999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3506;阿里·奥伦加特 ;unknown;4;1930;1999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3507;埃尔坎·加塔利 ;T3507;3;1939;1999;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3508;法维兹·卡克马克 ;unknown;4;1930;1970;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3509;伊尔姆·克亚 ;T3509;4;1940;1999;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3510;伊斯坦布尔军工厂 ;T3510;5;1930;1999;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3511;穆罕默德·努里·亚姆德 ;T3511;4;1930;1999;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3512;伊斯坦布尔军工厂 ;T1103;4;1930;1999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3513;伊斯坦布尔大学 ;T3513;4;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
