U03;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8310;复旦大学 ;T8310;6;1936;1999;mathematics;nuclear_physics;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8311;李克农 ;T8311;4;1936;1999;mathematics;training;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8312;彭德怀 ;T8312;6;1936;1999;training;SMALL_UNIT_TACTICS;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8313;成都飞机设计研究所 ;T8313;6;1936;1999;aircraft_testing;aeronautics;electronics;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8314;毛泽东 ;T8302;9;1930;1999;DECENTRALIZED_EXECUTION;infantry_focus;individual_courage;MANAGEMENT;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8315;装甲兵工程学院 ;T8315;5;1936;1999;ARTILLERY;MECHANICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8316;西安飞机设计研究所 ;T8316;5;1936;1999;aeronautics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8317;国防科学技术大学 ;T8317;7;1936;1999;ARTILLERY;LARGE_UNIT_TACTICS;INFANTRY_FOCUS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8318;刘伯承 ;T8318;6;1936;1999;SMALL_UNIT_TACTICS;DECENTRALIZED_EXECUTION;INFANTRY_FOCUS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8319;大连海军学院 ;T8319;4;1936;1999;naval_training;SUBMARINE_TACTICS;SEAMANSHIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8320;林彪 ;T8301;7;1936;1999;large_unit_tactics;centralized_execution;LARGE_UNIT_FOCUS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8321;大连造船厂 ;T8305;5;1936;1999;naval_engineering;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8322;葫芦岛造船厂 ;T8322;4;1936;1999;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8323;常乾坤 ;T8307;5;1999;1990;fighter_tactics;DECENTRALIZED_EXECUTION;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8324;张爱萍 ;TC_CHC_8324;5;1936;1999;large_unit_tactics;ARTILLERY;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8325;一汽 ;T8325;4;1936;1999;mechanics;GENERAL_EQUIPMENT;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8326;中国北方电力大学 ;T8326;4;1936;1999;industrial_engineering;electronics;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8327;军事工程学院 ;T8327;5;1936;1999;mechanics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8328;内蒙古第一机械厂 ;T8328;4;1936;1999;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8329;工业合作社 ;T8329;4;1936;1999;general_equipment;management;INDUSTRIAL_ENGINEERING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8330;西南兵工局 ;T8306;5;1936;1999;artillery;COMBINED_ARMS_FOCUS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8331;北方工业集团 ;T8304;6;1936;1999;mechanics;chemistry;industrial_engineering;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8337;邓小平 ;T8300;7;1930;1999;management;industrial_engineering;TECHNICAL_EFFICIENCY;MECHANICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8338;北京大学 ;T8333;7;1936;1999;MANAGEMENT;chemistry;electronics;MATHEMATICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8339;机械工业部 ;T8334;5;1936;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8340;卢鹤绂 ;T1040;7;1936;1999;nuclear_physics;nuclear_engineering;mathematics;CHEMISTRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8341;陈云 ;TC_CHC_8336;6;1936;1999;mathematics;industrial_engineering;management;CHEMISTRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8342;钱学森 ;T8342;9;1999;1999;mathematics;NUCLEAR_PHYSICS;NUCLEAR_ENGINEERING;CHEMISTRY;ROCKETRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
