UAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3099;航空研究院 ;unknown;6;1930;1999;aeronautics;rocketry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3098;德·哈维兰公司 ;T3001;7;1930;1999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3097;马蒙-赫灵顿 ;T108;7;1930;1999;mechanics;training;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3096;南非铁路公司 ;T3004;6;1930;1999;mechanics;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3095;维克斯-阿姆斯特朗有限公司 ;T3003;8;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3094;阿道夫·马兰 ;T3005;8;1941;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3093;杨·斯马茨 ;T3006;6;1930;1999;centralized_execution;training;combined_arms_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3092;皮埃尔·奥利弗-克诺尔 ;T3007;6;1930;1999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3091;皮埃尔·范·雷内维德 ;T3008;6;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3090;本格拉铁路公司 ;T9300;5;1930;1999;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3089;格拉斯大学工作室 ;T9301;7;1945;1999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3088;马塞多·布里特 ;T9302;7;1930;1999;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3087;朱里奥·德·莫拉雷斯·塞尔门多 ;T9303;5;1940;1999;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3086;缪辛华·德·阿尔伯克维科 ;T9304;7;1930;1999;small_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3085;费尔斯通轮胎和橡胶公司 ;T26001;6;1930;1999;industrial_engineering;general_equipment;technical_efficiency;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;
