UCS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13899;统一航空器公司 ;T13800;7;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13898;布利斯堡空防中心 ;T13801;7;1930;1999;artillery;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13897;休斯敦船舶制造公司 ;T13803;7;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13896;哈穆尔石油精炼公司 ;T13804;8;1930;1999;industrial_engineering;chemistry;management;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13895;孤星航空公司 ;T13805;7;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13894;南太平洋铁路公司 ;T13806;6;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13893;德克萨斯太平洋铁路公司 ;T13807;7;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13892;德克萨斯A&M大学 ;T13808;6;1930;1999;mechanics;chemistry;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13891;德克萨斯石油公司 ;T118;9;1930;1999;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13890;德克萨斯大学 ;T13810;4;1930;1999;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13889;白沙试验场 ;T13811;6;1930;1999;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13888;胡德堡 ;T13812;8;1930;1999;infantry_focus;centralized_execution;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13887;休斯敦海军基地 ;T13803;6;1930;1999;submarine_tactics;carrier_tactics;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13886;海航海岸警卫队 ;T13814;5;1930;1999;aircraft_testing;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13885;圣安东尼奥飞行员训练中心 ;T13815;5;1930;1999;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
