UES;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
399;阿兰·图林 ;T300;9;1930;1999;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
398;德·哈维兰公司 ;T304;7;1930;1999;aeronautics;electronics;technical_efficiency;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
397;恩菲尔德兵工厂 ;T305;7;1930;1999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
396;约翰·布朗公司 ;T310;6;1930;1999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
395;利兰 ;T311;8;1930;1999;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
394;罗伯特·沃森-瓦特 ;T312;7;1930;1999;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
393;皇家小型武器工厂 ;T313;6;1930;1999;mechanics;general_equipment;training;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
392;沃克斯豪尔 ;T315;7;1930;1999;mechanics;chemistry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
391;维克斯-阿姆斯特朗有限公司 ;T316;5;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390;艾伦·布鲁克 ;T317;6;1930;1999;centralized_execution;large_unit_tactics;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
389;安德鲁·坎宁安 ;T318;8;1930;1999;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
388;查尔斯·波特尔 ;T321;6;1930;1999;bomber_tactics;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
387;达德利·庞德 ;T323;6;1930;1999;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
386;弗兰克·怀特 ;T329;7;1930;1999;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
385;乔治·帕吉特·汤姆森 ;T330;5;1930;1999;nuclear_physics;nuclear_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
