UPE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6199;英国-伊朗石油公司 ;T6100;7;1930;1999;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6198;道格拉斯飞机公司 ;T103;5;1930;1999;mechanics;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6197;贾汉宾建筑公司 ;T6102;8;1930;1999;naval_engineering;industrial_engineering;aeronautics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6196;撒切斯梅铜矿 ;T6103;7;1930;1999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6195;西门子-伊朗公司 ;T14;8;1930;1999;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6194;国家航空公司 ;T6105;7;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6193;伊朗铁路运输公司 ;T6106;6;1930;1999;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6192;戈兰·利扎·法哈尔维 ;T6107;6;1930;1999;electronics;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6191;利扎·法哈尔维 ;T6108;6;1930;1999;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6190;德黑兰大学 ;T6109;6;1930;1999;artillery;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6189;塔什克飞机生产组织 ;T14200;6;1930;1999;large_unit_tactics;combined_arms_focus;training;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6188;乌兹别克国立大学 ;T14201;9;1930;1999;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6187;塔什干军校 ;T10402;7;1930;1999;bomber_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6186;卡拉干达飞机厂 ;T11403;7;1930;1999;small_unit_tactics;centralized_execution;combined_arms_focus;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6185;鲁布佐夫斯克机械工厂 ;T15401;5;1930;1999;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
