UTC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2999;卡柏辛 ;T2901;7;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2998;DT-UDR公司 ;T2902;7;1930;1999;mechanics;artillery;training;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2997;奥克斯布格-纽伦堡机械制造厂 ;T2907;9;1930;1999;electronics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2996;乔治·捷内斯库 ;T2915;6;1930;1999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2995;霍里亚·马塞拉 ;T2916;5;1930;1999;submarine_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2994;伊万·安东内斯库 ;T2908;8;1930;1999;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2993;尼古拉耶夫六十一个公社社员造船厂 ;T3700;6;1930;1999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2992;哈尔科夫航空学院 ;T14005;8;1930;1999;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2991;基辅大学 ;T14006;6;1930;1999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2990;莫罗佐夫设计局 ;T14007;7;1930;1999;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2989;斯奇发动机公司 ;T14008;7;1930;1999;mechanics;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2988;图波列夫设计局 ;T3714;7;1930;1999;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2987;基辅陆军军官学校 ;T10401;6;1930;1999;large_unit_tactics;combined_arms_focus;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2986;敖德萨国家海事学院 ;T14011;6;1930;1999;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2985;哈尔科夫空军司令部 ;T10402;5;1930;1999;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
