UTO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
899;CBSA ;T800;8;1930;1999;aeronautics;technical_efficiency;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
898;保加利亚国营飞机制造厂 ;T801;5;1930;1999;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
897;伊万·乌尔科夫 ;T803;5;1930;1999;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
896;扎卡利·扎克哈里夫 ;T807;9;1930;1999;bomber_tactics;combined_arms_focus;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
895;斯托万·斯托万诺夫 ;T808;8;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
894;卡赞勒克国营军工厂 ;T810;7;1930;1999;mechanics;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
893;伊斯坦布尔瓦尔德造船厂 ;T3501;7;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
892;MKEK ;T3503;7;1930;1999;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
891;土耳其石油公司 ;T3505;7;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
890;阿里·奥伦加特 ;unknown;7;1930;1999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
889;法维兹·卡克马克 ;T3508;6;1930;1999;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
888;穆罕默德·阿里·乌尔根 ;T3510;6;1930;1999;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
887;穆罕默德·努里·亚姆德 ;T3511;6;1930;1999;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
886;伊斯坦布尔军工厂 ;T1103;6;1930;1999;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885;伊斯坦布尔大学 ;T3513;6;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
