MODIFIER;    INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B; CAS;TRA P;FL B;FL R; BB; CL; CA; BC; DD;  CV; CVL;SUB;NSUB;TRA;X
ATT_BLIZZARD;-85;-85;-85; -65;  -50;-50; -85;-85;-50;  0;-85;-85;-100; -100; -100; -100; -100;-100; -100;   0;   0;-50;-75;-70;-60;-80;-100;-100;-80; -80;-80;X
ATT_SNOW;    -65;-65;-65; -35;  -35;-35; -50;-65;-35;  0;-50;-65; -50;  -50;  -50;  -50;  -50; -50;  -50;   0;   0;  0;-20;-15;-10;-25; -80; -80;-20; -20;-25;X
ATT_FROZEN;  -75;-75;-75; -50;  -50;-50; -50;-75;-50;  0;-75;-75;   0;    0;    0;    0;    0;   0;    0;   0;   0;  0;  0;  0;  0;  0;   0;   0;  0;   0;  0;X
ATT_RAIN;    -35;-35;-35; -20;    0;  0; -35;  0;-25;  0;-35;-35; -50;  -50;  -50;  -50;  -50; -50;  -50;   0;   0;  0;-10;  0;  0;-10; -80; -80; -10;-10;-10;X
ATT_STORM;   -85;-85;-85; -65;  -65;-65; -85;-85;-65;  0;-85;-85;-100; -100; -100; -100; -100;-100; -100;   0;   0;-50;-75;-70;-60;-80;-100;-100; -80;-80;-80;X
ATT_MUDDY;   -50;-50;-50; -35;  -35;-35; -35;-25;-50;  0;-50;-50;   0;    0;    0;    0;    0;   0;    0;   0;   0;  0;  0;  0;  0;  0;   0;   0;  0;   0;  0;X
ATT_NIGHT;   -75;-75;-75; -50;  -50;-50; -50;-75;-75;  0;-75;-75; -80;  -80;  -80;  -80;  -80; -80;  -80;   0;   0;-35;-20;-25;-35;-20;-100;-100;  0;   0;-80;X
ATT_DESERT;  -35;-15;-35; -15;    0;  0; -35;  0;-35;  0;-35;-35;   0;    0;    0;    0;    0;   0;    0;   0;   0;  0;  0;  0;  0;  0;   0;   0;  0;   0;  0;X
ATT_MOUNTAIN;-50;-50;-50; -35;  -75;-75; -50;-50; 25;  0;-50;-50; -50;  -50;  -50;  -50;  -50; -50;  -50; -50; -50;0;0;0;0;0;0;0;0;0;0;X
ATT_HILL;    -25;-35;-25;   0;  -35;-35; -25;-25; 50;  0;-25;-25; -20;  -20;  -20;  -20;  -20; -20;  -20; -20; -20;0;0;0;0;0;0;0;0;0;0;X
ATT_FOREST;  -15;-15;-15;   0;  -25;-25; -15;-15;-15;  0;-25;-25; -10;  -10;  -10;  -10;  -10; -10;  -10; -20; -20;0;0;0;0;0;0;0;0;0;0;X
ATT_JUNGLE;  -50;-50;-50; -35;  -75;-75; -50; 25;-50;  0;-50;-50; -40;  -40;  -40;  -40;  -40; -40;  -40; -40; -40;0;0;0;0;0;0;0;0;0;0;X
ATT_SWAMP;   -65;-65;-65; -50;  -75;-75; -50; 25;-65;  0;-65;-65;  20;   20;   20;   20;   20;  20;   20;  20;  20;0;0;0;0;0;0;0;0;0;0;X
ATT_URBAN;   -50;-50;-50; -35;  -75;-75;   0;-50;-50;  0;-50;-50; -30;  -30;  -30;  -30;  -30; -30;  -30;  -0;  -0;0;0;0;0;0;0;0;0;0;0;X
ATT_RIVER;   -65;-65;-65; -50;  -50;-50;  50;-25;-65;  0;-65;-65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_SHORE;   -50;-75;-50; -25;  -25;-75; -25; 50;-50;  0;-50;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_FORT;    -35;-50;-35; -25;  -35;-50;  25;-25;-25;  0;-25;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_PLAINS;    0; 10;  0;   0;   25; 25;   0;  0;  0;  0;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;-65;-65;-65; -50;  -50;-65; -65;-65;-35;100;-65;-65;-100; -100; -100; -100; -100;-100; -100;   0;   0;-50;-75;-70;-60;-80;-100;-100;-80; -80;-80;X
DEF_SNOW;    -50;-50;-50; -35;  -35;-35; -50;-50;-25;100;-50;-50; -50;  -50;  -50;  -50;  -50; -50;  -50;   0;   0;  0;-20;-15;-10;-25; -80; -80;  0;   0;-25;X
DEF_FROZEN;  -40;-40;-40; -25;  -25;-40; -40;-40;-25;100;-40;-40;   0;    0;    0;    0;    0;   0;    0;   0;   0;  0;  0;  0;  0;  0;   0;   0;  0;   0;  0;X
DEF_RAIN;      0;  0;  0;   0;    0;  0;   0;  0;  0;100;  0;  0; -30;  -30;  -30;  -30;  -30; -30;  -30;   0;   0;-10;-10;-10;-10;-10; -80; -80;  0;   0;-10;X
DEF_STORM;   -75;-75;-75; -50;  -50;-50; -75;-75;-50;100;-75;-75;-100; -100; -100; -100; -100;-100; -100;   0;   0;-50;-75;-70;-60;-80;-100;-100;-50; -50;-50;X
DEF_MUDDY;   -20;-20;-20;   0;  -25;-25; -20;  0;-20;100;-20;-35;   0;    0;    0;    0;    0;   0;    0;   0;   0;  0;  0;  0;  0;  0;   0;   0;  0;   0;  0;X
DEF_NIGHT;   -35;-35;-35; -25;  -35;-35; -25;-35;-35;100;-35;-35; -50;  -50;  -50;  -50;  -50; -50;  -50;   0;   0;-25;-25;-25;-25;-25; -50; -50;  0;   0;-25;X
