Black;;;
red;green;blue;index
170;170;170;0
150;150;150;20
130;130;130;40
1;1;1;64
Green;;;
red;green;blue;index
206;218;178;0
186;198;158;20
166;178;138;40
1;1;1;64
Orange;;;
red;green;blue;index
216;216;197;0
196;196;177;20
176;176;157;40
1;1;1;64
light blue;;;
red;green;blue;index
231;231;253;0
211;211;233;20
191;191;213;40
1;1;1;64
light grey;;;
red;green;blue;index
223;223;223;0
203;203;203;20
183;183;183;40
1;1;1;64
light brown;;;
red;green;blue;index
221;221;202;0
201;201;182;20
181;181;162;40
1;1;1;64
dark yellow;;;
red;green;blue;index
228;218;178;0
208;198;158;20
188;178;138;40
1;1;1;64
yellow;;;
red;green;blue;index
253;243;188;0
233;223;168;20
213;203;148;40
1;1;1;64
dark grey;;;
red;green;blue;index
239;239;210;0
219;219;190;20
199;199;170;40
1;1;1;64
light yellow;;;
red;green;blue;index
244;209;185;0
224;189;165;20
204;169;145;40
1;1;1;64
grey;;;
red;green;blue;index
203;203;203;0
183;183;183;20
163;163;163;40
1;1;1;64
dark green;;;
red;green;blue;index
189;207;189;0
169;187;169;20
149;167;149;40
1;1;1;64
blue;;;
red;green;blue;index
206;223;236;0
186;203;216;20
166;183;196;40
1;1;1;64
light red;;;
red;green;blue;index
253;234;214;0
233;214;194;17
213;204;174;40
1;1;1;64
white;;;
red;green;blue;index
255;255;255;0
235;235;235;20
215;215;215;40
1;1;1;64
dark brown;;;
red;green;blue;index
220;204;190;0
200;184;170;20
180;164;150;40
1;1;1;64
red;;;
red;green;blue;index
251;207;203;0
231;187;183;20
211;167;163;40
1;1;1;64
light green;;;
red;green;blue;index
217;232;199;0
197;212;179;20
177;192;159;40
1;1;1;64
light orange;;;
red;green;blue;index
262;255;212;0
242;235;192;20
222;215;172;40
1;1;1;64
brown;;;
red;green;blue;index
208;208;180;0
188;188;160;20
168;168;140;40
1;1;1;64
dark blue;;;
red;green;blue;index
203;203;225;0
183;183;205;20
173;173;185;40
1;1;1;64
dark red;;;
red;green;blue;index
240;180;180;0
230;160;160;20
210;140;140;40
1;1;1;64
dark orange;;;
red;green;blue;index
223;195;173;0
203;175;153;20
183;155;133;40
1;1;1;64
water;;;
red;green;blue;index
153;190;205;0
127;158;168;20
101;125;132;40
51;64;70;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;50;50;0
50;50;50;4
50;50;50;35
50;50;50;64
UserColor1;;;
red;green;blue;index
245;220;234;0
225;200;214;20
205;180;194;40
1;1;1;64
UserColor2;;;
red;green;blue;index
212;242;233;0
192;222;213;20
172;202;193;40
1;1;1;64
UserColor3;;;
red;green;blue;index
202;228;223;0
182;208;203;20
162;188;183;40
1;1;1;64
UserColor4;;;
red;green;blue;index
244;226;170;0
224;206;150;20
204;186;130;40
1;1;1;64
UserColor5;;;
red;green;blue;index
233;194;203;0
213;174;183;20
193;154;163;40
1;1;1;64
UserColor6;;;
red;green;blue;index
237;203;171;0
217;183;151;20
187;163;131;40
1;1;1;64
